iter	Logloss
0	0.6859226408
1	0.6793396461
2	0.6731776941
3	0.6676069444
4	0.6624678683
5	0.6578438137
6	0.6536602272
7	0.6495678331
8	0.6459497295
9	0.642649431
10	0.6395662441
11	0.6369026183
12	0.6343826255
13	0.6318947787
14	0.6296570495
15	0.6278241385
16	0.6261000587
17	0.62451309
18	0.622825562
19	0.6214417729
20	0.6200616248
21	0.6187885726
22	0.6176257433
23	0.6164613816
24	0.6155071192
25	0.6146238061
26	0.6136952539
27	0.6129814579
28	0.6122219356
29	0.6114273787
30	0.6107592968
31	0.6100802789
32	0.6094636325
33	0.6089309162
34	0.6083472215
35	0.6078484096
36	0.6074142543
37	0.6069981592
38	0.6065140047
39	0.606075196
40	0.6057113279
41	0.605330596
42	0.6050186285
43	0.6046214098
44	0.6042942
45	0.6040031943
46	0.6037379365
47	0.6035215575
48	0.603183998
49	0.6029183295
50	0.6026181869
51	0.6023515332
52	0.6020705118
53	0.6017900555
54	0.6015397072
55	0.6012471153
56	0.6010179755
57	0.6007628434
58	0.6004730065
59	0.6002617009
60	0.6000196248
61	0.5997739961
62	0.5995089701
63	0.5993216685
64	0.5991330482
65	0.5989341338
66	0.598740656
67	0.598593879
68	0.5984029915
69	0.5981152463
70	0.5978063342
71	0.5976204624
72	0.5974258336
73	0.5972303833
74	0.5969873667
75	0.5968344532
76	0.5966600946
77	0.5965025935
78	0.5963033278
79	0.596110767
80	0.5959098246
81	0.5957150892
82	0.5955433915
83	0.5953820104
84	0.5951462142
85	0.5949439185
86	0.5947663541
87	0.5946033472
88	0.5944264265
89	0.5942148306
90	0.5940404659
91	0.5938279412
92	0.5936339368
93	0.5934835854
94	0.5932994394
95	0.5931317663
96	0.5929579212
97	0.5928160085
98	0.5926265962
99	0.5923838858
100	0.5922077961
101	0.5920107241
102	0.5918259589
103	0.5917129298
104	0.5915279237
105	0.5913918853
106	0.5912169299
107	0.5910347688
108	0.5909007809
109	0.5907631855
110	0.5905622763
111	0.5903647576
112	0.5902105559
113	0.5900346258
114	0.5898273143
115	0.5896899356
116	0.5895007245
117	0.5893353717
118	0.5891506467
119	0.5889768708
120	0.5888290011
121	0.5886884741
122	0.5885168161
123	0.5883734633
124	0.5881513309
125	0.5879605979
126	0.587773725
127	0.5876126084
128	0.5874492706
129	0.5872820834
130	0.5871172491
131	0.5869653934
132	0.5867633025
133	0.5865823624
134	0.5863996173
135	0.5861855536
136	0.5860301755
137	0.5858063221
138	0.5856137388
139	0.5854330895
140	0.5852723186
141	0.585084898
142	0.5849230516
143	0.5846780249
144	0.5845288365
145	0.5843736093
146	0.5842644507
147	0.5840998069
148	0.5839683678
149	0.5838104677
150	0.5836319774
151	0.5834326132
152	0.5833085042
153	0.5831397291
154	0.5829970455
155	0.5827899718
156	0.5826290482
157	0.5824057026
158	0.5822307188
159	0.5820673802
160	0.5818770555
161	0.581718422
162	0.5815856108
163	0.581472882
164	0.5813261562
165	0.5811289287
166	0.5809558725
167	0.5807934666
168	0.5805652824
169	0.5803405298
170	0.5801657631
171	0.5800185573
172	0.5798948846
173	0.5797033185
174	0.5795365589
175	0.5794254338
176	0.5792599496
177	0.5791001257
178	0.5789359071
179	0.5787864704
180	0.5786603455
181	0.5785558465
182	0.5784022885
183	0.5782082185
184	0.5780509574
185	0.5778915892
186	0.5777400012
187	0.5775833978
188	0.5774629309
189	0.5773259345
190	0.5771338897
191	0.5769171257
192	0.5767373957
193	0.5765985373
194	0.5764851887
195	0.5763255109
196	0.5761565155
197	0.5759705583
198	0.5757710623
199	0.5756125767
200	0.5753971197
201	0.5752552313
202	0.575107217
203	0.5748702984
204	0.5746800022
205	0.5744559863
206	0.5742997482
207	0.5741155521
208	0.573930545
209	0.5737350185
210	0.5736253653
211	0.5734237283
212	0.5732320823
213	0.5730609349
214	0.5728503641
215	0.572669661
216	0.572476698
217	0.5723006996
218	0.5720929411
219	0.5719311275
220	0.571780348
221	0.5715574742
222	0.5713903989
223	0.5711550744
224	0.5710149875
225	0.5708722024
226	0.5706067942
227	0.5703991831
228	0.5701948802
229	0.5700514381
230	0.5698596306
231	0.5697141506
232	0.5695410278
233	0.5693697364
234	0.569200049
235	0.569080571
236	0.5688620071
237	0.5686483804
238	0.5685295216
239	0.5683120048
240	0.5681359886
241	0.5678738761
242	0.5675663204
243	0.5673437346
244	0.5671182701
245	0.5669748796
246	0.5667954351
247	0.5665696264
248	0.5663993374
249	0.5661673098
250	0.5660060522
251	0.5658157277
252	0.5655918335
253	0.5654221424
254	0.565152103
255	0.5649416913
256	0.5647285347
257	0.5644111751
258	0.5641616627
259	0.5639413643
260	0.5638009702
261	0.5636705719
262	0.5634935305
263	0.5632768489
264	0.5630574444
265	0.5628292843
266	0.562652997
267	0.5624375096
268	0.5621858681
269	0.5620190807
270	0.5618340832
271	0.5616203777
272	0.5613487521
273	0.5611489661
274	0.5608611003
275	0.5606904222
276	0.5604180498
277	0.5602258509
278	0.5600019608
279	0.5597342056
280	0.559535853
281	0.5592031046
282	0.5589701932
283	0.558773752
284	0.5585101759
285	0.5583121023
286	0.5581187518
287	0.5578274885
288	0.5576124677
289	0.5574479212
290	0.5572338339
291	0.5569594803
292	0.5567264134
293	0.5565216778
294	0.5563220765
295	0.5561568111
296	0.555977778
297	0.5557096176
298	0.555474022
299	0.55526187
