iter	Passed	Remaining
0	32	9784
1	70	10569
2	105	10401
3	137	10140
4	168	9953
5	212	10433
6	244	10223
7	276	10081
8	309	10004
9	341	9914
10	373	9817
11	404	9706
12	436	9643
13	482	9856
14	513	9765
15	545	9677
16	574	9559
17	604	9477
18	639	9454
19	670	9389
20	701	9321
21	738	9326
22	778	9375
23	809	9306
24	840	9242
25	875	9228
26	907	9176
27	936	9098
28	968	9049
29	999	8995
30	1041	9038
31	1086	9096
32	1134	9175
33	1164	9111
34	1195	9054
35	1225	8988
36	1256	8933
37	1286	8866
38	1318	8820
39	1363	8859
40	1407	8894
41	1438	8839
42	1468	8775
43	1514	8809
44	1556	8822
45	1587	8767
46	1617	8708
47	1659	8714
48	1702	8722
49	1733	8666
50	1763	8611
51	1794	8559
52	1824	8502
53	1854	8449
54	1888	8411
55	1925	8387
56	1977	8429
57	2007	8377
58	2038	8324
59	2069	8279
60	2100	8228
61	2131	8182
62	2174	8179
63	2205	8132
64	2251	8141
65	2282	8091
66	2313	8044
67	2355	8036
68	2386	7989
69	2417	7943
70	2450	7903
71	2481	7857
72	2513	7815
73	2545	7775
74	2578	7734
75	2608	7688
76	2649	7673
77	2681	7632
78	2715	7595
79	2760	7591
80	2792	7549
81	2821	7501
82	2851	7456
83	2881	7410
84	2924	7398
85	2968	7387
86	2999	7342
87	3030	7300
88	3062	7259
89	3094	7219
90	3124	7176
91	3156	7136
92	3188	7096
93	3219	7054
94	3251	7015
95	3280	6970
96	3310	6927
97	3342	6890
98	3374	6850
99	3406	6812
100	3435	6769
101	3470	6736
102	3501	6696
103	3529	6652
104	3573	6637
105	3604	6596
106	3634	6555
107	3665	6517
108	3696	6476
109	3743	6466
110	3783	6442
111	3822	6416
112	3860	6388
113	3896	6357
114	3930	6323
115	3964	6288
116	3996	6251
117	4040	6231
118	4072	6194
119	4114	6172
120	4146	6134
121	4178	6096
122	4210	6058
123	4255	6039
124	4288	6003
125	4324	5971
126	4356	5935
127	4387	5896
128	4430	5873
129	4463	5837
130	4494	5797
131	4528	5764
132	4561	5728
133	4595	5692
134	4627	5655
135	4658	5617
136	4690	5581
137	4722	5543
138	4754	5507
139	4786	5469
140	4820	5435
141	4852	5398
142	4896	5375
143	4927	5338
144	4973	5316
145	5005	5279
146	5037	5243
147	5085	5222
148	5119	5188
149	5154	5154
150	5200	5131
151	5231	5094
152	5265	5059
153	5300	5024
154	5331	4987
155	5364	4951
156	5394	4913
157	5425	4875
158	5455	4838
159	5486	4800
160	5516	4763
161	5547	4725
162	5577	4688
163	5607	4650
164	5637	4612
165	5668	4575
166	5716	4552
167	5748	4516
168	5781	4481
169	5815	4447
170	5850	4413
171	5885	4380
172	5919	4345
173	5952	4310
174	5983	4274
175	6014	4237
176	6045	4201
177	6076	4164
178	6107	4128
179	6136	4091
180	6168	4055
181	6197	4018
182	6227	3981
183	6259	3946
184	6291	3910
185	6323	3875
186	6355	3840
187	6388	3805
188	6422	3771
189	6457	3738
190	6490	3704
191	6522	3669
192	6554	3633
193	6588	3600
194	6622	3566
195	6656	3532
196	6688	3497
197	6719	3461
198	6750	3426
199	6781	3390
200	6813	3355
201	6845	3321
202	6875	3285
203	6907	3250
204	6939	3215
205	6974	3182
206	7005	3147
207	7038	3113
208	7070	3078
209	7105	3045
210	7138	3010
211	7169	2976
212	7200	2940
213	7232	2906
214	7263	2871
215	7294	2836
216	7326	2802
217	7356	2767
218	7387	2732
219	7418	2697
220	7448	2662
221	7482	2628
222	7513	2594
223	7545	2560
224	7575	2525
225	7605	2490
226	7636	2455
227	7667	2421
228	7700	2387
229	7732	2353
230	7767	2320
231	7799	2286
232	7829	2251
233	7860	2217
234	7891	2182
235	7920	2148
236	7951	2113
237	7984	2080
238	8014	2045
239	8049	2012
240	8086	1979
241	8125	1947
242	8160	1914
243	8194	1880
244	8228	1847
245	8258	1812
246	8288	1778
247	8318	1744
248	8347	1709
249	8379	1675
250	8408	1641
251	8440	1607
252	8469	1573
253	8501	1539
254	8533	1505
255	8563	1471
256	8592	1437
257	8625	1404
258	8655	1370
259	8686	1336
260	8717	1302
261	8747	1268
262	8777	1234
263	8808	1201
264	8840	1167
265	8870	1133
266	8900	1100
267	8930	1066
268	8962	1032
269	8991	999
270	9023	965
271	9057	932
272	9088	898
273	9130	866
274	9169	833
275	9199	799
276	9229	766
277	9261	732
278	9294	699
279	9326	666
280	9357	632
281	9389	599
282	9419	565
283	9449	532
284	9480	498
285	9509	465
286	9539	432
287	9573	398
288	9605	365
289	9634	332
290	9664	298
291	9696	265
292	9726	232
293	9758	199
294	9789	165
295	9820	132
296	9850	99
297	9882	66
298	9911	33
299	9940	0
